"Top.Category","Category","failed","successful","Granularity"
"Film & Video","Film & Video",1634,1837,"Top Category"
"Music","Music",1009,1715,"Top Category"
"Publishing","Publishing",1234,809,"Top Category"
"Games","Games",817,797,"Top Category"
"Art","Art",643,718,"Top Category"
"Design","Design",777,659,"Top Category"
"Food","Food",658,448,"Top Category"
"Theater","Theater",209,438,"Top Category"
"Fashion","Fashion",656,367,"Top Category"
"Technology","Technology",632,351,"Top Category"
"Comics","Comics",231,340,"Top Category"
"Photography","Photography",319,219,"Top Category"
"Dance","Dance",76,187,"Top Category"
"Crafts","Crafts",137,84,"Top Category"
"Journalism","Journalism",43,29,"Top Category"
